Band Number,Disposition,Species,Age,Sex,Month,Day,Year,Bird Status,Bander ID,Location,How Captured,Wing Chord,Bird Weight,Tarsus Length,Culmen Length,Bill Width,Bill Height,Transmitter Affixed,Cloacal Swab,Blood Sample Taken,AI Sample #,Mercury Sample ID,Capture Time,Transmitter ID,Aux Marker Type,Season
219785262,1,LSGO,ASY,F,2,12,2019,380,JK,GLWA,Rocket Net,391,1818,NA,NA,NA,NA,Y,N,N,NA,NA,15:00,182129,80F,Post
219785263,1,LSGO,ASY,F,2,12,2019,380,JK,GLWA,Rocket Net,412,1764,NA,NA,NA,NA,Y,N,N,NA,NA,15:00,182124,80F,Post
219785264,1,LSGO,ASY,F,2,12,2019,380,JK,GLWA,Rocket Net,417,2144,NA,NA,NA,NA,Y,N,N,NA,NA,15:00,182120,80F,Post
219785265,1,LSGO,ASY,F,2,12,2019,300,JK,GLWA,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,15:00,,,Post
219785266,1,LSGO,ASY,F,2,12,2019,300,JK,GLWA,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,15:00,,,Post
219785267,1,LSGO,ASY,F,2,12,2019,300,JK,GLWA,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,15:00,,,Post
219785268,1,LSGO,ASY,F,2,12,2019,300,JK,GLWA,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,15:00,,,Post
219785269,1,LSGO,ASY,F,2,12,2019,300,JK,GLWA,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,15:00,,,Post
219785270,1,LSGO,ASY,F,2,12,2019,300,JK,GLWA,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,15:00,,,Post
219785271,1,LSGO,ASY,F,2,12,2019,300,JK,GLWA,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,15:00,,,Post
219785272,1,LSGO,ASY,F,2,12,2019,300,JK,GLWA,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,15:00,,,Post
219785273,1,LSGO,ASY,F,2,12,2019,300,JK,GLWA,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,15:00,,,Post
219785274,1,LSGO,ASY,M,2,12,2019,300,JK,GLWA,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,15:00,,,Post
219785275,1,LSGO,ASY,M,2,12,2019,300,JK,GLWA,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,15:00,,,Post
219785276,1,LSGO,ASY,M,2,12,2019,300,JK,GLWA,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,15:00,,,Post
219785277,1,LSGO,ASY,M,2,12,2019,300,JK,GLWA,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,15:00,,,Post
219785278,1,LSGO,ASY,M,2,12,2019,300,JK,GLWA,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,15:00,,,Post
219785279,1,LSGO,ASY,M,2,12,2019,300,JK,GLWA,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,15:00,,,Post
219785280,1,LSGO,ASY,M,2,12,2019,300,JK,GLWA,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,15:00,,,Post
219785281,1,LSGO,ASY,M,2,12,2019,300,JK,GLWA,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,15:00,,,Post
219785282,1,LSGO,ASY,M,2,12,2019,300,JK,GLWA,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,15:00,,,Post
219785283,1,LSGO,ASY,M,2,12,2019,300,JK,GLWA,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,15:00,,,Post
